age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped,Time_to_offer
36,married,Associate Certification,Female,25,> 20 kms,Consultants,10,5/2/2016,6/1/2016,82,8,Vertical,No,12,No,No,30
43,married,Master Degree,Female,26,> 20 kms,Job Portals,8,2/6/2015,7/31/2015,20,5,Lateral,Yes,19,No,Yes,175
26,married,Bachelor Degree,Female,35,> 20 kms,Social Media,10,8/12/2015,8/27/2015,35,2,Vertical,No,2,No,No,15
36,single,Associate Certification,Female,36,> 20 kms,Consultants,8,8/20/2015,8/24/2015,91,7,Lateral,No,12,No,No,4
42,married,Bachelor Degree,Female,18,<15 kms,Job Portals,10,7/15/2015,1/9/2016,15,7,Lateral,Yes,18,No,Yes,178
43,married,Bachelor Degree,Female,19,15-20 kms,Job Portals,4,7/16/2015,8/16/2015,82,3,Vertical,Yes,19,Yes,No,31
46,married,Master Degree,Female,28,> 20 kms,Consultants,4,3/2/2016,4/5/2016,74,8,Vertical,No,22,No,No,34
35,married,Associate Degree,Female,25,<15 kms,Consultants,9,3/11/2015,9/5/2015,26,4,Lateral,Yes,11,No,Yes,178
29,married,Bachelor Degree,Female,20,<15 kms,Job Portals,5,3/14/2016,4/16/2016,75,5,Vertical,No,5,Yes,No,33
44,married,Bachelor Degree,Female,38,<15 kms,Job Portals,3,6/19/2015,6/27/2015,88,4,Vertical,No,20,Yes,No,8
33,single,Bachelor Degree,Female,23,> 20 kms,Internal Referrals,9,2/1/2016,6/28/2016,22,6,Lateral,Yes,9,No,Yes,148
30,married,Bachelor Degree,Female,25,<15 kms,Job Portals,10,3/31/2015,8/23/2015,19,5,Lateral,Yes,6,No,Yes,145
36,married,Associate Certification,Female,29,> 20 kms,Company Website,4,1/11/2015,1/26/2015,60,8,Vertical,Yes,12,Yes,No,15
43,single,Associate Certification,Female,36,<15 kms,Job Portals,5,7/10/2015,7/28/2015,95,3,Lateral,No,19,No,No,18
27,married,Associate Degree,Female,23,15-20 kms,Job Portals,10,7/17/2015,8/25/2015,58,3,Lateral,No,3,Yes,No,39
37,divorced,Bachelor Degree,Female,33,> 20 kms,Consultants,8,6/24/2015,12/21/2015,19,3,Lateral,Yes,10,No,Yes,180
27,married,Associate Certification,Female,18,> 20 kms,Consultants,8,1/5/2015,5/29/2015,15,4,Lateral,Yes,3,No,Yes,144
35,married,Master Degree,Female,23,> 20 kms,Internal Referrals,9,6/11/2016,11/1/2016,19,5,Lateral,Yes,11,No,Yes,143
31,married,Associate Degree,Female,20,> 20 kms,Internal Referrals,9,6/1/2016,11/27/2016,18,5,Lateral,Yes,7,No,Yes,179
27,divorced,Associate Certification,Female,27,15-20 kms,Company Website,5,9/17/2015,10/15/2015,36,4,Lateral,Yes,3,Yes,No,28
30,married,Associate Certification,Female,39,> 20 kms,Social Media,9,6/5/2015,7/11/2015,38,5,Lateral,No,6,No,No,36
37,married,Master Degree,Female,35,> 20 kms,Internal Referrals,8,6/9/2015,11/28/2015,24,5,Lateral,Yes,13,No,Yes,172
41,married,Bachelor Degree,Female,28,> 20 kms,Job Portals,9,6/19/2015,12/4/2015,22,4,Lateral,Yes,17,No,Yes,168
40,married,Associate Certification,Female,21,15-20 kms,Consultants,6,10/15/2015,11/10/2015,84,6,Vertical,Yes,16,Yes,No,26
41,married,Associate Certification,Female,19,> 20 kms,Consultants,9,9/22/2015,3/8/2016,18,5,Lateral,Yes,17,No,Yes,168
35,married,Bachelor Degree,Female,31,> 20 kms,Consultants,10,3/14/2016,8/10/2016,27,4,Lateral,Yes,11,No,Yes,149
27,married,Associate Degree,Female,16,15-20 kms,Consultants,6,3/26/2016,4/28/2016,49,4,Lateral,No,3,No,No,33
26,married,Associate Degree,Female,22,> 20 kms,Job Portals,9,1/21/2016,6/10/2016,24,1,Lateral,Yes,2,No,Yes,141
26,single,Associate Degree,Female,39,<15 kms,Company Website,9,4/30/2015,5/30/2015,28,1,Lateral,Yes,2,No,No,30
27,divorced,Associate Degree,Female,39,<15 kms,Social Media,9,1/12/2015,2/15/2015,72,5,Lateral,Yes,6,Yes,No,34
41,married,Associate Degree,Female,25,> 20 kms,Social Media,3,4/30/2015,5/26/2015,76,7,Lateral,Yes,17,Yes,No,26
33,married,Associate Certification,Female,18,<15 kms,Consultants,8,7/4/2015,12/4/2015,21,6,Lateral,Yes,9,No,Yes,153
31,married,Bachelor Degree,Female,20,> 20 kms,Internal Referrals,9,5/25/2015,11/12/2015,28,5,Lateral,Yes,7,No,Yes,171
44,married,Associate Certification,Female,18,<15 kms,Consultants,9,6/27/2015,8/6/2015,65,4,Vertical,No,20,No,No,40
37,married,Bachelor Degree,Female,38,> 20 kms,Social Media,8,11/14/2015,4/19/2016,26,6,Lateral,Yes,13,No,Yes,157
26,married,Associate Certification,Female,30,> 20 kms,Job Portals,10,4/25/2016,10/22/2016,24,1,Lateral,Yes,2,No,Yes,180
39,married,Associate Certification,Female,22,> 20 kms,Job Portals,8,6/19/2015,11/30/2015,19,4,Lateral,Yes,9,No,Yes,164
36,married,Associate Degree,Female,37,<15 kms,Internal Referrals,8,2/15/2016,7/5/2016,15,5,Lateral,Yes,12,No,Yes,141
38,married,Master Degree,Female,24,> 20 kms,Social Media,9,10/20/2015,4/4/2016,25,8,Lateral,Yes,14,No,Yes,167
38,married,Master Degree,Female,33,> 20 kms,Consultants,10,10/29/2015,3/30/2016,17,4,Lateral,Yes,14,No,Yes,153
33,married,Associate Certification,Female,29,> 20 kms,Job Portals,9,3/14/2016,3/29/2016,50,5,Lateral,No,9,Yes,No,15
33,divorced,Associate Degree,Female,40,15-20 kms,Job Portals,3,5/30/2016,6/29/2016,36,4,Vertical,No,9,No,No,30
29,single,Associate Certification,Female,28,<15 kms,Social Media,9,6/3/2016,11/5/2016,21,4,Lateral,Yes,5,No,Yes,155
36,married,Associate Certification,Female,25,<15 kms,Social Media,9,6/16/2015,11/28/2015,18,4,Lateral,Yes,12,No,Yes,165
42,married,Master Degree,Female,18,> 20 kms,Job Portals,3,3/21/2016,4/2/2016,47,3,Vertical,No,18,Yes,No,12
40,married,Associate Certification,Female,33,> 20 kms,Consultants,10,4/2/2016,8/20/2016,19,4,Lateral,Yes,10,No,Yes,140
28,married,Associate Degree,Female,18,<15 kms,Company Website,3,9/22/2015,10/14/2015,27,4,Vertical,No,4,Yes,No,22
43,divorced,Associate Certification,Female,39,> 20 kms,Social Media,9,2/23/2016,3/31/2016,47,8,Lateral,No,19,Yes,No,37
37,divorced,Bachelor Degree,Female,27,<15 kms,Social Media,7,6/8/2015,7/18/2015,87,5,Vertical,Yes,13,Yes,No,40
41,single,Associate Degree,Female,17,15-20 kms,Consultants,7,9/13/2015,10/12/2015,58,6,Lateral,Yes,17,No,No,29
36,married,Master Degree,Female,37,> 20 kms,Internal Referrals,8,12/24/2015,6/2/2016,24,3,Lateral,Yes,12,No,Yes,161
29,married,Associate Degree,Female,23,<15 kms,Social Media,9,12/19/2015,6/7/2016,26,5,Lateral,Yes,5,No,Yes,171
37,married,Associate Certification,Female,37,<15 kms,Job Portals,6,6/24/2015,7/25/2015,42,7,Lateral,No,13,No,No,31
25,married,Associate Certification,Female,17,> 20 kms,Job Portals,10,4/15/2015,9/4/2015,23,1,Lateral,Yes,1,No,Yes,142
41,divorced,Associate Certification,Female,36,15-20 kms,Social Media,8,7/23/2015,8/2/2015,37,6,Vertical,No,17,No,No,10
45,married,Associate Degree,Female,37,15-20 kms,Job Portals,8,7/16/2015,7/31/2015,80,5,Lateral,Yes,21,Yes,No,15
39,divorced,Master Degree,Female,19,> 20 kms,Social Media,9,2/27/2016,8/15/2016,28,6,Lateral,Yes,15,No,Yes,170
28,married,Associate Certification,Female,40,<15 kms,Social Media,6,12/24/2015,1/23/2016,86,4,Vertical,Yes,4,No,No,30
44,married,Associate Certification,Female,16,> 20 kms,Job Portals,10,7/18/2015,1/9/2016,29,5,Lateral,Yes,20,No,Yes,175
34,married,Associate Degree,Female,28,> 20 kms,Internal Referrals,9,3/23/2016,8/14/2016,30,6,Lateral,Yes,10,No,Yes,144
32,divorced,Bachelor Degree,Female,23,<15 kms,Social Media,9,8/2/2015,1/6/2016,17,8,Lateral,Yes,8,No,Yes,157
30,divorced,Associate Certification,Female,37,15-20 kms,Consultants,3,4/11/2015,4/28/2015,75,4,Lateral,Yes,6,Yes,No,17
41,married,Associate Certification,Female,20,<15 kms,Consultants,10,10/15/2015,3/22/2016,15,5,Lateral,Yes,17,No,Yes,159
35,divorced,Bachelor Degree,Female,33,> 20 kms,Job Portals,10,12/17/2015,5/15/2016,20,8,Lateral,Yes,11,No,Yes,150
39,married,Associate Degree,Female,21,> 20 kms,Consultants,8,4/26/2015,9/25/2015,19,4,Lateral,Yes,9,No,Yes,152
27,divorced,Associate Certification,Female,20,> 20 kms,Company Website,4,12/17/2015,1/17/2016,29,5,Lateral,No,6,Yes,No,31
28,married,Associate Certification,Female,36,> 20 kms,Social Media,6,3/31/2015,4/16/2015,42,3,Vertical,No,4,Yes,No,16
41,married,Master Degree,Female,34,<15 kms,Job Portals,10,3/31/2015,9/6/2015,24,4,Lateral,Yes,11,No,Yes,159
44,married,Associate Certification,Female,19,<15 kms,Job Portals,10,5/10/2015,5/25/2015,57,3,Lateral,Yes,20,Yes,No,15
37,married,Associate Certification,Female,21,<15 kms,Company Website,3,10/16/2015,10/28/2015,85,5,Lateral,No,13,No,No,12
27,married,Associate Certification,Female,18,> 20 kms,Job Portals,3,7/31/2015,9/7/2015,88,4,Lateral,Yes,3,Yes,No,38
42,divorced,Master Degree,Female,25,<15 kms,Job Portals,5,11/13/2015,12/1/2015,57,3,Lateral,No,18,Yes,No,18
36,married,Master Degree,Female,39,<15 kms,Social Media,3,5/22/2015,6/16/2015,72,3,Lateral,Yes,12,No,No,25
29,married,Bachelor Degree,Female,39,<15 kms,Job Portals,7,2/8/2015,2/24/2015,66,5,Vertical,Yes,5,No,No,16
30,married,Associate Certification,Female,18,> 20 kms,Company Website,7,3/29/2015,5/2/2015,51,5,Vertical,Yes,6,Yes,No,34
33,married,Bachelor Degree,Female,17,<15 kms,Job Portals,8,1/27/2016,2/9/2016,40,3,Vertical,No,9,No,No,13
25,married,Associate Degree,Female,29,> 20 kms,Social Media,10,3/31/2015,9/17/2015,30,1,Lateral,Yes,1,No,Yes,170
37,married,Associate Certification,Female,38,<15 kms,Internal Referrals,10,8/20/2015,1/19/2016,28,5,Lateral,Yes,13,No,Yes,152
36,married,Bachelor Degree,Female,39,> 20 kms,Social Media,3,7/5/2015,7/9/2015,56,3,Vertical,Yes,12,Yes,No,4
43,divorced,Master Degree,Female,12,> 20 kms,Consultants,8,3/13/2015,3/30/2015,77,3,Vertical,No,19,Yes,No,17
42,married,Associate Degree,Female,23,15-20 kms,Company Website,3,4/2/2016,4/30/2016,77,8,Lateral,Yes,18,Yes,No,28
43,married,Master Degree,Female,31,> 20 kms,Job Portals,8,4/5/2015,9/19/2015,20,7,Lateral,Yes,19,No,Yes,167
36,married,Master Degree,Female,38,> 20 kms,Social Media,9,3/21/2015,8/25/2015,25,3,Lateral,Yes,8,No,Yes,157
31,married,Associate Degree,Female,16,<15 kms,Job Portals,9,11/10/2015,12/14/2015,53,4,Lateral,No,7,Yes,No,34
32,single,Bachelor Degree,Female,27,15-20 kms,Social Media,4,8/25/2015,9/30/2015,63,6,Vertical,No,8,Yes,No,36
27,married,Associate Degree,Female,34,<15 kms,Social Media,8,7/13/2015,1/2/2016,19,4,Lateral,Yes,3,No,Yes,173
35,married,Associate Certification,Female,28,<15 kms,Company Website,10,8/16/2015,9/4/2015,73,8,Vertical,Yes,11,Yes,No,19
33,married,Associate Degree,Female,34,> 20 kms,Internal Referrals,8,1/8/2015,6/22/2015,29,3,Lateral,Yes,9,No,Yes,165
38,divorced,Bachelor Degree,Female,20,<15 kms,Company Website,7,1/19/2016,2/21/2016,55,6,Vertical,No,14,No,No,33
26,married,Associate Degree,Female,16,<15 kms,Job Portals,3,12/24/2015,1/20/2016,31,1,Lateral,No,2,Yes,No,27
42,married,Associate Certification,Female,24,<15 kms,Job Portals,10,3/31/2015,9/9/2015,20,8,Lateral,Yes,18,No,Yes,162
39,single,Bachelor Degree,Female,16,<15 kms,Social Media,8,2/4/2015,7/11/2015,26,4,Lateral,Yes,9,No,Yes,157
40,married,Bachelor Degree,Female,33,<15 kms,Job Portals,10,2/3/2015,6/29/2015,16,4,Lateral,Yes,16,No,Yes,146
34,married,Bachelor Degree,Female,35,> 20 kms,Social Media,9,9/17/2015,3/5/2016,17,7,Lateral,Yes,10,No,Yes,170
44,married,Associate Certification,Female,10,> 20 kms,Job Portals,3,10/25/2015,10/26/2015,43,4,Lateral,Yes,20,Yes,No,1
45,married,Associate Degree,Female,11,<15 kms,Company Website,4,8/29/2015,9/14/2015,60,8,Vertical,Yes,21,Yes,No,16
39,divorced,Bachelor Degree,Female,13,<15 kms,Job Portals,10,8/25/2015,9/13/2015,79,5,Lateral,Yes,15,No,No,19
33,married,Master Degree,Female,19,<15 kms,Consultants,8,5/12/2015,9/29/2015,24,3,Lateral,Yes,5,No,Yes,140
38,married,Master Degree,Female,37,> 20 kms,Social Media,8,10/16/2015,3/18/2016,15,6,Lateral,Yes,14,No,Yes,154
41,married,Bachelor Degree,Female,18,<15 kms,Consultants,8,6/16/2015,12/10/2015,20,8,Lateral,Yes,17,No,Yes,177
42,married,Master Degree,Female,40,> 20 kms,Internal Referrals,9,5/3/2016,10/18/2016,18,7,Lateral,Yes,18,No,Yes,168
45,married,Associate Degree,Female,31,> 20 kms,Social Media,10,9/13/2015,3/11/2016,17,8,Lateral,Yes,21,No,Yes,180
36,single,Associate Degree,Female,28,<15 kms,Job Portals,10,6/16/2015,11/4/2015,20,7,Lateral,Yes,12,No,Yes,141
36,married,Associate Certification,Female,21,> 20 kms,Job Portals,10,2/20/2016,7/26/2016,17,3,Lateral,Yes,12,No,Yes,157
27,single,Bachelor Degree,Female,11,<15 kms,Social Media,4,8/7/2015,8/22/2015,91,5,Lateral,Yes,6,No,No,15
31,single,Bachelor Degree,Female,28,<15 kms,Consultants,4,10/20/2015,11/26/2015,59,5,Vertical,Yes,7,No,No,37
39,married,Master Degree,Female,36,> 20 kms,Job Portals,10,9/22/2015,3/8/2016,23,4,Lateral,Yes,15,No,Yes,168
35,married,Associate Degree,Female,17,> 20 kms,Consultants,9,5/3/2016,10/26/2016,18,8,Lateral,Yes,11,No,Yes,176
35,divorced,Associate Degree,Female,31,> 20 kms,Consultants,10,8/6/2015,1/14/2016,30,4,Lateral,Yes,11,No,Yes,161
42,married,Bachelor Degree,Female,12,> 20 kms,Consultants,7,8/16/2015,9/2/2015,51,7,Vertical,No,18,No,No,17
44,married,Bachelor Degree,Female,25,> 20 kms,Consultants,9,10/20/2015,3/17/2016,24,8,Lateral,Yes,20,No,Yes,149
45,divorced,Associate Degree,Female,17,<15 kms,Job Portals,9,7/23/2015,1/6/2016,19,6,Lateral,Yes,21,No,Yes,167
26,married,Associate Certification,Female,29,> 20 kms,Consultants,8,12/25/2015,6/4/2016,17,2,Lateral,Yes,2,No,Yes,162
31,divorced,Associate Degree,Female,17,> 20 kms,Job Portals,9,2/13/2016,7/28/2016,23,4,Lateral,Yes,7,No,Yes,166
27,married,Associate Degree,Female,39,<15 kms,Consultants,9,2/13/2016,8/9/2016,21,4,Lateral,Yes,3,No,Yes,178
42,married,Associate Degree,Female,22,> 20 kms,Social Media,9,3/14/2016,8/10/2016,30,3,Lateral,Yes,7,No,Yes,149
43,married,Associate Degree,Female,20,15-20 kms,Company Website,9,3/29/2016,4/13/2016,91,7,Vertical,Yes,19,No,No,15
43,single,Associate Degree,Female,18,> 20 kms,Job Portals,10,2/2/2016,2/8/2016,53,3,Lateral,No,19,Yes,No,6
35,married,Master Degree,Female,25,> 20 kms,Internal Referrals,8,9/13/2015,2/9/2016,16,8,Lateral,Yes,11,No,Yes,149
30,married,Bachelor Degree,Female,12,<15 kms,Consultants,7,12/25/2015,1/23/2016,27,3,Vertical,No,6,No,No,29
37,married,Master Degree,Female,12,<15 kms,Job Portals,6,3/27/2015,4/7/2015,58,7,Vertical,No,13,Yes,No,11
28,single,Associate Degree,Female,26,15-20 kms,Job Portals,7,10/27/2015,11/29/2015,54,4,Vertical,Yes,4,Yes,No,33
34,married,Bachelor Degree,Female,27,<15 kms,Job Portals,8,6/25/2015,11/14/2015,25,3,Lateral,Yes,6,No,Yes,142
34,married,Bachelor Degree,Female,10,> 20 kms,Consultants,4,5/16/2015,6/12/2015,37,7,Vertical,Yes,10,No,No,27
36,married,Bachelor Degree,Female,20,> 20 kms,Internal Referrals,10,4/5/2015,9/11/2015,18,8,Lateral,Yes,12,No,Yes,159
35,married,Associate Degree,Female,18,<15 kms,Job Portals,5,10/16/2015,11/20/2015,32,7,Lateral,No,11,Yes,No,35
39,married,Associate Degree,Female,17,15-20 kms,Job Portals,6,6/24/2015,7/18/2015,57,6,Vertical,No,15,No,No,24
30,married,Associate Certification,Female,10,15-20 kms,Consultants,6,6/11/2015,7/10/2015,93,3,Vertical,No,6,Yes,No,29
42,married,Associate Certification,Female,12,> 20 kms,Job Portals,10,12/9/2015,12/10/2015,31,8,Vertical,Yes,18,No,No,1
41,married,Master Degree,Female,14,> 20 kms,Social Media,6,1/11/2015,1/26/2015,54,7,Vertical,No,17,No,No,15
26,married,Associate Degree,Female,13,15-20 kms,Social Media,3,1/5/2015,2/8/2015,29,1,Vertical,No,2,Yes,No,34
34,married,Associate Certification,Female,28,> 20 kms,Consultants,8,11/12/2015,4/5/2016,26,5,Lateral,Yes,10,No,Yes,145
40,married,Associate Degree,Female,19,15-20 kms,Social Media,3,2/15/2016,3/10/2016,52,7,Vertical,Yes,16,Yes,No,24
26,married,Associate Degree,Female,19,> 20 kms,Consultants,9,4/3/2016,4/5/2016,33,2,Lateral,No,2,No,No,2
42,married,Associate Degree,Female,21,> 20 kms,Consultants,10,4/26/2015,9/18/2015,20,7,Lateral,Yes,18,No,Yes,145
27,single,Bachelor Degree,Female,17,<15 kms,Social Media,8,6/16/2015,6/25/2015,31,5,Vertical,No,6,Yes,No,9
44,divorced,Master Degree,Female,17,> 20 kms,Social Media,3,2/27/2016,3/8/2016,62,8,Vertical,Yes,20,No,No,10
46,married,Associate Certification,Female,17,15-20 kms,Social Media,9,6/19/2015,7/9/2015,67,4,Lateral,Yes,22,Yes,No,20
35,single,Associate Degree,Female,29,<15 kms,Social Media,4,10/25/2015,11/28/2015,48,7,Vertical,No,11,Yes,No,34
25,married,Associate Certification,Female,16,<15 kms,Consultants,9,4/18/2015,10/10/2015,22,1,Lateral,Yes,1,No,Yes,175
43,married,Master Degree,Female,18,> 20 kms,Consultants,10,10/16/2015,11/13/2015,93,3,Vertical,Yes,19,Yes,No,28
42,single,Associate Degree,Female,16,15-20 kms,Social Media,9,1/15/2016,1/25/2016,36,5,Lateral,Yes,18,No,No,10
32,married,Bachelor Degree,Female,23,<15 kms,Social Media,9,3/21/2016,9/13/2016,29,7,Lateral,Yes,8,No,Yes,176
25,married,Associate Degree,Female,29,> 20 kms,Social Media,8,2/23/2016,3/31/2016,92,1,Lateral,No,1,Yes,No,37
30,married,Associate Certification,Female,18,<15 kms,Consultants,10,3/14/2016,8/27/2016,16,3,Lateral,Yes,6,No,Yes,166
44,single,Bachelor Degree,Female,14,15-20 kms,Job Portals,7,12/20/2015,12/24/2015,79,7,Vertical,Yes,20,Yes,No,4
40,married,Master Degree,Female,22,<15 kms,Internal Referrals,9,2/12/2015,7/7/2015,16,4,Lateral,Yes,16,No,Yes,145
46,married,Master Degree,Female,23,> 20 kms,Social Media,10,9/13/2015,10/3/2015,68,5,Lateral,No,22,Yes,No,20
41,married,Master Degree,Female,18,> 20 kms,Job Portals,10,8/29/2015,9/4/2015,64,6,Lateral,Yes,17,Yes,No,6
26,single,Bachelor Degree,Female,10,15-20 kms,Consultants,4,10/25/2015,11/28/2015,92,1,Vertical,Yes,2,No,No,34
